Product_Id,Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
NC4793,17.06,No Sugar,0.019,Health and Hygiene,205.71,OUT003,1999,Medium,Tier 1,Departmental Store,5649.15
FD1993,10.72,Regular,0.119,Canned,127.9,OUT004,2009,Medium,Tier 2,Supermarket Type2,2626.22
NC1158,13.39,No Sugar,0.022,Others,153.93,OUT004,2009,Medium,Tier 2,Supermarket Type2,3760.81
FD5868,14.3,Low Sugar,0.076,Dairy,159.21,OUT001,1987,High,Tier 2,Supermarket Type1,4074.0
FD3744,12.35,Low Sugar,0.036,Baking Goods,113.9,OUT004,2009,Medium,Tier 2,Supermarket Type2,2707.63
NC6110,17.55,No Sugar,0.02,Household,174.58,OUT003,1999,Medium,Tier 1,Departmental Store,5122.98
FD7494,11.96,Low Sugar,0.064,Starchy Foods,156.81,OUT004,2009,Medium,Tier 2,Supermarket Type2,3496.06
NC2746,12.84,No Sugar,0.02,Household,131.99,OUT004,2009,Medium,Tier 2,Supermarket Type2,3187.56
FD8279,12.95,Regular,0.032,Breakfast,106.82,OUT004,2009,Medium,Tier 2,Supermarket Type2,2698.74
FD3205,12.65,Low Sugar,0.04,Frozen Foods,124.33,OUT004,2009,Medium,Tier 2,Supermarket Type2,2987.74
FD5052,11.64,Low Sugar,0.096,Frozen Foods,162.23,OUT004,2009,Medium,Tier 2,Supermarket Type2,3536.31
FD1729,10.86,Low Sugar,0.058,Snack Foods,161.79,OUT004,2009,Medium,Tier 2,Supermarket Type2,3349.31
FD6638,13.94,Low Sugar,0.084,Snack Foods,153.75,OUT004,2009,Medium,Tier 2,Supermarket Type2,3882.8
FD3367,14.39,Low Sugar,0.139,Snack Foods,163.84,OUT001,1987,High,Tier 2,Supermarket Type1,4189.66
FD7111,13.28,Regular,0.104,Fruits and Vegetables,143.17,OUT004,2009,Medium,Tier 2,Supermarket Type2,3515.13
FD1029,15.62,Low Sugar,0.102,Snack Foods,200.97,OUT003,1999,Medium,Tier 1,Departmental Store,5226.64
FD4760,13.41,Low Sugar,0.128,Canned,178.88,OUT003,1999,Medium,Tier 1,Departmental Store,4276.47
NC1955,9.52,No Sugar,0.029,Household,139.47,OUT004,2009,Medium,Tier 2,Supermarket Type2,2589.75
NC5395,14.05,No Sugar,0.03,Health and Hygiene,170.52,OUT003,1999,Medium,Tier 1,Departmental Store,4250.81
DR7741,14.46,Low Sugar,0.042,Soft Drinks,159.49,OUT001,1987,High,Tier 2,Supermarket Type1,4115.73
DR4331,13.07,Low Sugar,0.045,Soft Drinks,161.18,OUT004,2009,Medium,Tier 2,Supermarket Type2,3836.9
FD6729,14.34,Regular,0.035,Dairy,133.82,OUT004,2009,Medium,Tier 2,Supermarket Type2,3564.15
FD2582,10.43,Regular,0.047,Fruits and Vegetables,118.94,OUT001,1987,High,Tier 2,Supermarket Type1,2376.66
FD5743,11.27,Regular,0.061,Frozen Foods,124.65,OUT004,2009,Medium,Tier 2,Supermarket Type2,2682.62
FD5652,11.71,Low Sugar,0.106,Dairy,195.75,OUT003,1999,Medium,Tier 1,Departmental Store,4236.09
FD3393,10.2,Low Sugar,0.088,Snack Foods,92.62,OUT002,1998,Small,Tier 3,Food Mart,1785.64
FD8534,14.12,Low Sugar,0.129,Baking Goods,160.41,OUT001,1987,High,Tier 2,Supermarket Type1,4058.56
FD7699,12.45,Regular,0.03,Snack Foods,137.85,OUT004,2009,Medium,Tier 2,Supermarket Type2,3220.32
FD4056,12.27,Regular,0.062,Snack Foods,158.12,OUT004,2009,Medium,Tier 2,Supermarket Type2,3594.1
FD875,17.6,Regular,0.031,Snack Foods,158.67,OUT003,1999,Medium,Tier 1,Departmental Store,4809.97
FD3450,14.89,Regular,0.131,Canned,171.17,OUT003,1999,Medium,Tier 1,Departmental Store,4451.93
NC7519,12.72,No Sugar,0.051,Health and Hygiene,150.71,OUT004,2009,Medium,Tier 2,Supermarket Type2,3544.16
FD2478,10.12,Low Sugar,0.098,Canned,112.07,OUT002,1998,Small,Tier 3,Food Mart,2165.49
FD7288,13.37,reg,0.144,Fruits and Vegetables,173.1,OUT001,1987,High,Tier 2,Supermarket Type1,4149.85
FD6956,12.5,Low Sugar,0.009,Fruits and Vegetables,152.62,OUT004,2009,Medium,Tier 2,Supermarket Type2,3533.15
DR1258,17.11,Regular,0.049,Soft Drinks,176.42,OUT003,1999,Medium,Tier 1,Departmental Store,5062.32
FD2808,16.23,Low Sugar,0.009,Snack Foods,181.37,OUT003,1999,Medium,Tier 1,Departmental Store,4965.15
NC6716,10.33,No Sugar,0.042,Health and Hygiene,140.23,OUT004,2009,Medium,Tier 2,Supermarket Type2,2788.35
FD5337,10.93,Low Sugar,0.082,Baking Goods,116.53,OUT001,1987,High,Tier 2,Supermarket Type1,2440.68
FD3281,8.0,Low Sugar,0.009,Fruits and Vegetables,105.61,OUT002,1998,Small,Tier 3,Food Mart,1554.62
FD7698,12.49,Low Sugar,0.027,Baking Goods,130.06,OUT004,2009,Medium,Tier 2,Supermarket Type2,3069.39
FD3251,11.59,Low Sugar,0.103,Fruits and Vegetables,127.3,OUT004,2009,Medium,Tier 2,Supermarket Type2,2809.91
FD5952,9.63,Regular,0.035,Fruits and Vegetables,62.64,OUT002,1998,Small,Tier 3,Food Mart,1044.19
DR5817,12.87,Low Sugar,0.014,Soft Drinks,150.73,OUT004,2009,Medium,Tier 2,Supermarket Type2,3578.6
FD4263,14.06,Low Sugar,0.026,Breakfast,126.24,OUT004,2009,Medium,Tier 2,Supermarket Type2,3346.16
FD664,13.01,Low Sugar,0.121,Snack Foods,166.37,OUT004,2009,Medium,Tier 2,Supermarket Type2,3930.17
FD622,14.39,Low Sugar,0.057,Snack Foods,167.59,OUT003,1999,Medium,Tier 1,Departmental Store,4266.89
FD6363,10.41,Low Sugar,0.083,Baking Goods,143.89,OUT004,2009,Medium,Tier 2,Supermarket Type2,2882.56
FD2294,13.2,Low Sugar,0.065,Snack Foods,115.26,OUT004,2009,Medium,Tier 2,Supermarket Type2,2927.41
FD6486,10.28,Low Sugar,0.025,Canned,142.01,OUT004,2009,Medium,Tier 2,Supermarket Type2,2813.27
FD1870,14.45,Low Sugar,0.049,Snack Foods,202.59,OUT001,1987,High,Tier 2,Supermarket Type1,4995.61
FD3586,14.29,Regular,0.041,Snack Foods,184.99,OUT001,1987,High,Tier 2,Supermarket Type1,4599.33
FD8522,15.74,Regular,0.17,Frozen Foods,172.77,OUT001,1987,High,Tier 2,Supermarket Type1,4678.07
FD1521,12.92,Low Sugar,0.089,Fruits and Vegetables,91.38,OUT001,1987,High,Tier 2,Supermarket Type1,2374.73
FD6358,18.33,Regular,0.057,Baking Goods,166.37,OUT003,1999,Medium,Tier 1,Departmental Store,5132.64
FD2633,13.45,Regular,0.087,Fruits and Vegetables,75.23,OUT002,1998,Small,Tier 3,Food Mart,2164.56
FD7645,16.17,Regular,0.015,Snack Foods,219.42,OUT003,1999,Medium,Tier 1,Departmental Store,5728.95
FD6499,10.45,Low Sugar,0.058,Baking Goods,138.45,OUT004,2009,Medium,Tier 2,Supermarket Type2,2779.67
FD6617,13.75,Regular,0.033,Canned,121.15,OUT004,2009,Medium,Tier 2,Supermarket Type2,3172.28
FD6076,14.09,Low Sugar,0.097,Snack Foods,206.9,OUT003,1999,Medium,Tier 1,Departmental Store,5003.35
FD6607,12.58,Low Sugar,0.184,Fruits and Vegetables,166.09,OUT004,2009,Medium,Tier 2,Supermarket Type2,3827.84
FD532,15.31,Low Sugar,0.143,Meat,203.02,OUT002,1998,Small,Tier 3,Food Mart,1472.54
FD363,12.72,Regular,0.022,Breads,187.9,OUT001,1987,High,Tier 2,Supermarket Type1,4920.35
FD185,10.43,Regular,0.077,Snack Foods,119.8,OUT003,1999,Medium,Tier 1,Departmental Store,5202.19
FD1241,8.29,Low Sugar,0.093,Frozen Foods,114.4,OUT002,1998,Small,Tier 3,Food Mart,1799.78
FD1877,13.76,Low Sugar,0.009,Fruits and Vegetables,134.24,OUT004,2009,Medium,Tier 2,Supermarket Type2,3440.9
FD8697,10.08,Low Sugar,0.026,Snack Foods,98.23,OUT002,1998,Small,Tier 3,Food Mart,1872.35
NC5798,15.39,No Sugar,0.006,Others,179.95,OUT001,1987,High,Tier 2,Supermarket Type1,4744.98
FD4007,10.34,Low Sugar,0.292,Breakfast,81.19,OUT002,1998,Small,Tier 3,Food Mart,1584.06
FD4472,13.76,Low Sugar,0.037,Frozen Foods,116.7,OUT004,2009,Medium,Tier 2,Supermarket Type2,3082.26
FD7821,11.04,Low Sugar,0.027,Baking Goods,139.45,OUT004,2009,Medium,Tier 2,Supermarket Type2,2933.88
FD8368,6.82,Low Sugar,0.063,Canned,112.74,OUT002,1998,Small,Tier 3,Food Mart,1434.51
FD4976,9.42,Low Sugar,0.006,Breakfast,116.4,OUT002,1998,Small,Tier 3,Food Mart,2095.91
NC7344,10.48,No Sugar,0.021,Household,92.45,OUT002,1998,Small,Tier 3,Food Mart,1845.4
FD135,15.37,Low Sugar,0.13,Canned,99.24,OUT004,2009,Medium,Tier 2,Supermarket Type2,4332.15
FD2563,9.13,Low Sugar,0.175,Canned,144.27,OUT004,2009,Medium,Tier 2,Supermarket Type2,2600.25
FD6203,11.1,Regular,0.018,Meat,154.97,OUT004,2009,Medium,Tier 2,Supermarket Type2,3264.05
DR7327,15.55,Regular,0.027,Soft Drinks,162.47,OUT003,1999,Medium,Tier 1,Departmental Store,4424.01
FD560,8.53,Regular,0.066,Fruits and Vegetables,85.88,OUT003,1999,Medium,Tier 1,Departmental Store,5065.7
FD1926,12.45,Low Sugar,0.075,Fruits and Vegetables,130.66,OUT004,2009,Medium,Tier 2,Supermarket Type2,3072.05
FD803,13.77,Low Sugar,0.161,Baking Goods,109.65,OUT004,2009,Medium,Tier 2,Supermarket Type2,2940.88
NC5304,12.12,No Sugar,0.076,Household,117.73,OUT004,2009,Medium,Tier 2,Supermarket Type2,2733.98
FD99,11.3,Low Sugar,0.174,Fruits and Vegetables,121.44,OUT004,2009,Medium,Tier 2,Supermarket Type2,1578.54
FD3631,13.91,Low Sugar,0.162,Fruits and Vegetables,110.35,OUT004,2009,Medium,Tier 2,Supermarket Type2,2986.62
NC3485,11.54,No Sugar,0.182,Health and Hygiene,135.38,OUT004,2009,Medium,Tier 2,Supermarket Type2,2962.54
DR3012,11.97,Low Sugar,0.067,Hard Drinks,128.41,OUT004,2009,Medium,Tier 2,Supermarket Type2,2918.9
FD8217,14.33,Regular,0.087,Seafood,223.34,OUT003,1999,Medium,Tier 1,Departmental Store,5393.46
DR2078,11.09,Low Sugar,0.158,Soft Drinks,153.24,OUT004,2009,Medium,Tier 2,Supermarket Type2,3227.98
FD812,12.35,Regular,0.185,Canned,131.65,OUT004,2009,Medium,Tier 2,Supermarket Type2,3070.22
FD5858,12.3,Low Sugar,0.022,Baking Goods,86.48,OUT002,1998,Small,Tier 3,Food Mart,2134.11
NC2379,11.41,No Sugar,0.054,Household,138.43,OUT004,2009,Medium,Tier 2,Supermarket Type2,2995.34
FD5124,10.15,Low Sugar,0.108,Baking Goods,131.3,OUT004,2009,Medium,Tier 2,Supermarket Type2,2564.81
FD6379,13.88,Low Sugar,0.013,Meat,103.23,OUT004,2009,Medium,Tier 2,Supermarket Type2,2834.29
FD2376,11.78,Regular,0.029,Fruits and Vegetables,145.82,OUT004,2009,Medium,Tier 2,Supermarket Type2,3230.76
FD2253,11.46,Low Sugar,0.031,Baking Goods,203.87,OUT003,1999,Medium,Tier 1,Departmental Store,4346.06
FD6880,14.25,Regular,0.012,Meat,152.66,OUT004,2009,Medium,Tier 2,Supermarket Type2,3929.03
FD3144,13.06,Low Sugar,0.052,Baking Goods,142.59,OUT004,2009,Medium,Tier 2,Supermarket Type2,3455.11
FD7879,17.47,Regular,0.03,Meat,175.52,OUT003,1999,Medium,Tier 1,Departmental Store,5125.09
FD209,10.84,Low Sugar,0.023,Baking Goods,116.45,OUT001,1987,High,Tier 2,Supermarket Type1,2440.97
FD253,12.56,Low Sugar,0.092,Snack Foods,161.24,OUT004,2009,Medium,Tier 2,Supermarket Type2,5064.03
FD2698,14.21,Low Sugar,0.025,Snack Foods,175.34,OUT003,1999,Medium,Tier 1,Departmental Store,4384.94
NC3436,11.43,No Sugar,0.042,Household,179.39,OUT004,2009,Medium,Tier 2,Supermarket Type2,3839.75
DR898,13.43,Low Sugar,0.081,Soft Drinks,231.07,OUT003,1999,Medium,Tier 1,Departmental Store,5349.26
FD3513,7.15,Regular,0.049,Fruits and Vegetables,90.89,OUT002,1998,Small,Tier 3,Food Mart,1060.4
FD1529,12.43,Regular,0.066,Baking Goods,165.24,OUT004,2009,Medium,Tier 2,Supermarket Type2,3776.27
DR1011,9.88,Low Sugar,0.123,Soft Drinks,130.54,OUT001,1987,High,Tier 2,Supermarket Type1,2490.3
NC8310,13.63,No Sugar,0.035,Health and Hygiene,194.16,OUT001,1987,High,Tier 2,Supermarket Type1,4638.82
FD5546,13.36,Regular,0.06,Fruits and Vegetables,143.84,OUT004,2009,Medium,Tier 2,Supermarket Type2,3548.21
DR1177,15.05,Low Sugar,0.076,Soft Drinks,128.5,OUT004,2009,Medium,Tier 2,Supermarket Type2,3616.34
FD1908,11.47,Low Sugar,0.178,Meat,194.61,OUT001,1987,High,Tier 2,Supermarket Type1,4159.9
FD352,13.57,Low Sugar,0.091,Frozen Foods,201.17,OUT002,1998,Small,Tier 3,Food Mart,2290.59
FD3510,10.72,Low Sugar,0.068,Snack Foods,111.08,OUT002,1998,Small,Tier 3,Food Mart,2281.16
NC2673,12.53,No Sugar,0.123,Household,141.93,OUT004,2009,Medium,Tier 2,Supermarket Type2,3321.26
FD7394,9.52,Low Sugar,0.113,Baking Goods,85.56,OUT002,1998,Small,Tier 3,Food Mart,1486.47
FD2061,13.56,Low Sugar,0.027,Frozen Foods,151.12,OUT004,2009,Medium,Tier 2,Supermarket Type2,3741.07
FD3966,8.42,Regular,0.041,Canned,106.32,OUT002,1998,Small,Tier 3,Food Mart,1663.94
FD4966,20.35,Low Sugar,0.022,Snack Foods,156.56,OUT003,1999,Medium,Tier 1,Departmental Store,5387.26
NC4139,14.39,No Sugar,0.099,Health and Hygiene,146.09,OUT004,2009,Medium,Tier 2,Supermarket Type2,3827.52
FD6337,11.16,Low Sugar,0.096,Meat,142.9,OUT004,2009,Medium,Tier 2,Supermarket Type2,3032.16
FD2452,12.34,Low Sugar,0.016,Dairy,75.29,OUT002,1998,Small,Tier 3,Food Mart,1913.64
FD4514,7.96,Low Sugar,0.027,Frozen Foods,126.91,OUT002,1998,Small,Tier 3,Food Mart,1980.89
FD1247,15.0,Regular,0.016,Fruits and Vegetables,164.02,OUT003,1999,Medium,Tier 1,Departmental Store,4331.07
FD3942,15.15,Regular,0.049,Frozen Foods,143.08,OUT004,2009,Medium,Tier 2,Supermarket Type2,3936.82
FD8001,12.09,Low Sugar,0.094,Snack Foods,163.37,OUT004,2009,Medium,Tier 2,Supermarket Type2,3660.96
FD1512,15.9,Low Sugar,0.114,Dairy,141.25,OUT001,1987,High,Tier 2,Supermarket Type1,4068.37
FD6,14.64,Low Sugar,0.093,Canned,179.36,OUT003,1999,Medium,Tier 1,Departmental Store,6410.07
FD6762,17.44,Low Sugar,0.016,Fruits and Vegetables,173.84,OUT003,1999,Medium,Tier 1,Departmental Store,5083.62
FD1212,12.04,Low Sugar,0.026,Meat,137.59,OUT004,2009,Medium,Tier 2,Supermarket Type2,3121.33
FD3834,8.57,Low Sugar,0.112,Meat,111.78,OUT002,1998,Small,Tier 3,Food Mart,1808.35
FD1948,7.11,Low Sugar,0.065,Frozen Foods,96.54,OUT002,1998,Small,Tier 3,Food Mart,1167.43
FD1580,13.06,Low Sugar,0.009,Snack Foods,156.35,OUT004,2009,Medium,Tier 2,Supermarket Type2,3735.19
FD2097,9.33,Regular,0.021,Baking Goods,141.68,OUT004,2009,Medium,Tier 2,Supermarket Type2,2592.1
NC2180,15.88,No Sugar,0.047,Household,180.04,OUT001,1987,High,Tier 2,Supermarket Type1,4857.42
FD8720,9.33,Low Sugar,0.162,Meat,146.11,OUT004,2009,Medium,Tier 2,Supermarket Type2,2683.55
NC5522,15.95,No Sugar,0.021,Others,173.46,OUT001,1987,High,Tier 2,Supermarket Type1,4739.2
FD2997,9.08,Low Sugar,0.085,Baking Goods,150.86,OUT004,2009,Medium,Tier 2,Supermarket Type2,2723.52
FD8665,13.59,Low Sugar,0.069,Dairy,150.54,OUT004,2009,Medium,Tier 2,Supermarket Type2,3735.87
FD4219,8.07,Low Sugar,0.016,Fruits and Vegetables,160.89,OUT004,2009,Medium,Tier 2,Supermarket Type2,2701.45
FD91,15.35,Low Sugar,0.075,Baking Goods,158.89,OUT002,1998,Small,Tier 3,Food Mart,914.75
FD161,14.96,Low Sugar,0.076,Fruits and Vegetables,182.36,OUT001,1987,High,Tier 2,Supermarket Type1,3283.64
NC3827,13.59,No Sugar,0.089,Health and Hygiene,128.45,OUT004,2009,Medium,Tier 2,Supermarket Type2,3284.47
FD8632,14.74,Low Sugar,0.037,Snack Foods,129.17,OUT004,2009,Medium,Tier 2,Supermarket Type2,3558.7
FD5750,13.46,Low Sugar,0.011,Fruits and Vegetables,142.12,OUT004,2009,Medium,Tier 2,Supermarket Type2,3534.96
FD1306,16.65,Low Sugar,0.027,Fruits and Vegetables,166.25,OUT001,1987,High,Tier 2,Supermarket Type1,4749.28
FD7921,8.86,Regular,0.015,Snack Foods,126.89,OUT002,1998,Small,Tier 3,Food Mart,2183.5
FD8092,12.23,Low Sugar,0.184,Dairy,138.03,OUT004,2009,Medium,Tier 2,Supermarket Type2,3173.89
FD2265,12.54,Low Sugar,0.043,Snack Foods,160.15,OUT004,2009,Medium,Tier 2,Supermarket Type2,3697.11
FD2070,11.65,Regular,0.043,Meat,104.18,OUT001,1987,High,Tier 2,Supermarket Type1,2349.56
FD2120,15.49,Low Sugar,0.099,Canned,193.1,OUT003,1999,Medium,Tier 1,Departmental Store,5037.84
FD1938,13.25,Low Sugar,0.046,Breakfast,146.32,OUT004,2009,Medium,Tier 2,Supermarket Type2,3572.54
NC7303,12.7,No Sugar,0.007,Health and Hygiene,180.41,OUT001,1987,High,Tier 2,Supermarket Type1,4147.38
NC123,12.56,No Sugar,0.057,Health and Hygiene,180.23,OUT003,1999,Medium,Tier 1,Departmental Store,4450.63
FD4190,13.65,Regular,0.038,Canned,143.94,OUT004,2009,Medium,Tier 2,Supermarket Type2,3614.76
DR3732,13.15,Low Sugar,0.025,Soft Drinks,159.47,OUT004,2009,Medium,Tier 2,Supermarket Type2,3820.25
FD4294,11.47,Regular,0.081,Baking Goods,205.41,OUT003,1999,Medium,Tier 1,Departmental Store,4381.18
FD1793,16.45,Low Sugar,0.052,Meat,173.16,OUT003,1999,Medium,Tier 1,Departmental Store,4846.35
FD8353,12.63,Regular,0.009,Canned,142.0,OUT004,2009,Medium,Tier 2,Supermarket Type2,3345.32
NC6437,13.01,No Sugar,0.054,Household,144.54,OUT004,2009,Medium,Tier 2,Supermarket Type2,3482.54
FD5846,15.56,Low Sugar,0.036,Frozen Foods,193.44,OUT003,1999,Medium,Tier 1,Departmental Store,5059.8
DR8728,7.85,Low Sugar,0.017,Soft Drinks,78.26,OUT002,1998,Small,Tier 3,Food Mart,960.36
DR1426,17.01,Low Sugar,0.104,Soft Drinks,174.86,OUT003,1999,Medium,Tier 1,Departmental Store,5007.12
NC563,15.52,No Sugar,0.044,Others,185.24,OUT001,1987,High,Tier 2,Supermarket Type1,4870.75
FD2760,13.4,Low Sugar,0.112,Fruits and Vegetables,138.94,OUT004,2009,Medium,Tier 2,Supermarket Type2,3457.51
NC8756,11.12,No Sugar,0.137,Health and Hygiene,99.28,OUT002,1998,Small,Tier 3,Food Mart,2129.23
FD215,11.72,Low Sugar,0.023,Dairy,169.4,OUT004,2009,Medium,Tier 2,Supermarket Type2,3984.14
FD1151,10.31,Low Sugar,0.053,Dairy,104.76,OUT002,1998,Small,Tier 3,Food Mart,2059.36
NC6397,14.24,No Sugar,0.098,Others,141.9,OUT004,2009,Medium,Tier 2,Supermarket Type2,3707.77
FD7203,17.23,Low Sugar,0.057,Baking Goods,175.07,OUT003,1999,Medium,Tier 1,Departmental Store,5062.16
FD4430,14.55,Regular,0.092,Fruits and Vegetables,197.58,OUT001,1987,High,Tier 2,Supermarket Type1,4917.22
FD4080,13.58,Regular,0.045,Snack Foods,147.02,OUT004,2009,Medium,Tier 2,Supermarket Type2,3662.57
FD2054,12.44,Low Sugar,0.045,Dairy,149.44,OUT004,2009,Medium,Tier 2,Supermarket Type2,3454.89
FD4060,12.17,Low Sugar,0.059,Meat,177.83,OUT004,2009,Medium,Tier 2,Supermarket Type2,3973.77
FD4180,12.08,reg,0.107,Frozen Foods,131.75,OUT004,2009,Medium,Tier 2,Supermarket Type2,3010.38
FD4492,8.73,Low Sugar,0.056,Snack Foods,101.72,OUT002,1998,Small,Tier 3,Food Mart,1638.91
NC7387,14.22,No Sugar,0.048,Household,141.09,OUT004,2009,Medium,Tier 2,Supermarket Type2,3687.04
FD5287,10.75,Low Sugar,0.034,Dairy,146.66,OUT004,2009,Medium,Tier 2,Supermarket Type2,3015.65
FD5032,12.09,Low Sugar,0.1,Baking Goods,140.01,OUT004,2009,Medium,Tier 2,Supermarket Type2,3183.12
FD5013,12.16,Low Sugar,0.017,Meat,123.61,OUT004,2009,Medium,Tier 2,Supermarket Type2,2862.12
FD1278,13.25,Low Sugar,0.115,Breakfast,142.45,OUT004,2009,Medium,Tier 2,Supermarket Type2,3493.76
FD8508,12.05,Low Sugar,0.032,Dairy,131.9,OUT004,2009,Medium,Tier 2,Supermarket Type2,3006.57
FD6907,14.97,Low Sugar,0.019,Dairy,190.03,OUT001,1987,High,Tier 2,Supermarket Type1,4857.19
NC6097,12.29,No Sugar,0.103,Household,136.06,OUT004,2009,Medium,Tier 2,Supermarket Type2,3146.87
FD2102,12.24,Regular,0.051,Canned,177.75,OUT004,2009,Medium,Tier 2,Supermarket Type2,3987.9
FD110,15.13,Low Sugar,0.099,Meat,148.98,OUT001,1987,High,Tier 2,Supermarket Type1,4914.05
NC6047,14.57,No Sugar,0.043,Health and Hygiene,156.26,OUT001,1987,High,Tier 2,Supermarket Type1,4075.42
FD5005,10.96,Low Sugar,0.043,Baking Goods,123.47,OUT004,2009,Medium,Tier 2,Supermarket Type2,2589.12
FD4786,13.06,Low Sugar,0.023,Frozen Foods,159.64,OUT004,2009,Medium,Tier 2,Supermarket Type2,3804.16
FD2280,12.76,Regular,0.161,Dairy,147.1,OUT004,2009,Medium,Tier 2,Supermarket Type2,3479.69
FD3818,12.8,Low Sugar,0.03,Frozen Foods,135.8,OUT004,2009,Medium,Tier 2,Supermarket Type2,3257.72
FD5276,12.25,Low Sugar,0.04,Canned,160.42,OUT004,2009,Medium,Tier 2,Supermarket Type2,3635.5
FD7152,13.08,Low Sugar,0.096,Frozen Foods,162.83,OUT004,2009,Medium,Tier 2,Supermarket Type2,3873.37
FD2203,11.51,Low Sugar,0.021,Canned,97.62,OUT002,1998,Small,Tier 3,Food Mart,2183.58
NC2591,14.04,No Sugar,0.065,Others,189.59,OUT001,1987,High,Tier 2,Supermarket Type1,4637.59
DR3745,14.92,Low Sugar,0.173,Soft Drinks,172.54,OUT003,1999,Medium,Tier 1,Departmental Store,4488.5
FD4241,11.85,Low Sugar,0.112,Snack Foods,181.27,OUT004,2009,Medium,Tier 2,Supermarket Type2,3972.18
FD6166,15.03,Regular,0.027,Starchy Foods,200.56,OUT003,1999,Medium,Tier 1,Departmental Store,5086.24
FD3175,14.87,Regular,0.014,Meat,132.95,OUT004,2009,Medium,Tier 2,Supermarket Type2,3666.74
NC7795,10.82,No Sugar,0.165,Others,124.54,OUT004,2009,Medium,Tier 2,Supermarket Type2,2578.88
FD3105,9.5,Regular,0.11,Fruits and Vegetables,96.12,OUT002,1998,Small,Tier 3,Food Mart,1699.26
FD2701,15.67,Regular,0.076,Frozen Foods,135.36,OUT004,2009,Medium,Tier 2,Supermarket Type2,3897.08
NC5344,11.82,No Sugar,0.014,Household,141.53,OUT004,2009,Medium,Tier 2,Supermarket Type2,3151.49
FD7693,10.05,Regular,0.115,Dairy,113.76,OUT002,1998,Small,Tier 3,Food Mart,2184.7
FD4051,10.0,Low Sugar,0.058,Seafood,144.39,OUT004,2009,Medium,Tier 2,Supermarket Type2,2798.66
FD4581,10.91,Low Sugar,0.05,Frozen Foods,129.6,OUT004,2009,Medium,Tier 2,Supermarket Type2,2703.23
FD3808,10.21,Low Sugar,0.038,Baking Goods,97.63,OUT002,1998,Small,Tier 3,Food Mart,1890.83
FD1190,11.2,Regular,0.067,Frozen Foods,131.66,OUT004,2009,Medium,Tier 2,Supermarket Type2,2811.4
FD4094,13.81,Low Sugar,0.016,Fruits and Vegetables,114.58,OUT004,2009,Medium,Tier 2,Supermarket Type2,3051.48
NC4018,10.53,No Sugar,0.019,Household,171.63,OUT004,2009,Medium,Tier 2,Supermarket Type2,3476.82
FD5999,8.76,Regular,0.062,Breakfast,149.63,OUT004,2009,Medium,Tier 2,Supermarket Type2,2627.03
FD5788,11.62,reg,0.054,Canned,136.42,OUT004,2009,Medium,Tier 2,Supermarket Type2,3001.97
NC4386,8.94,No Sugar,0.039,Health and Hygiene,92.18,OUT002,1998,Small,Tier 3,Food Mart,1492.65
FD6207,12.26,Low Sugar,0.058,Fruits and Vegetables,132.85,OUT004,2009,Medium,Tier 2,Supermarket Type2,3074.25
NC8117,17.34,No Sugar,0.076,Health and Hygiene,229.58,OUT003,1999,Medium,Tier 1,Departmental Store,6201.6
FD4892,9.54,Low Sugar,0.017,Canned,131.99,OUT001,1987,High,Tier 2,Supermarket Type1,2441.45
FD7858,15.45,Low Sugar,0.069,Frozen Foods,161.96,OUT003,1999,Medium,Tier 1,Departmental Store,4391.3
FD8560,12.24,Low Sugar,0.006,Frozen Foods,107.48,OUT004,2009,Medium,Tier 2,Supermarket Type2,2550.99
FD8638,15.4,Low Sugar,0.039,Frozen Foods,156.01,OUT003,1999,Medium,Tier 1,Departmental Store,4257.16
DR3118,13.17,Low Sugar,0.055,Soft Drinks,168.8,OUT001,1987,High,Tier 2,Supermarket Type1,4015.24
FD399,13.93,Regular,0.006,Snack Foods,155.02,OUT004,2009,Medium,Tier 2,Supermarket Type2,4646.23
NC8736,11.79,No Sugar,0.11,Others,106.73,OUT001,1987,High,Tier 2,Supermarket Type1,2434.25
NC5610,13.49,No Sugar,0.074,Others,93.44,OUT004,2009,Medium,Tier 2,Supermarket Type2,2546.18
FD2213,13.74,Low Sugar,0.04,Canned,186.96,OUT001,1987,High,Tier 2,Supermarket Type1,4515.79
FD3566,10.87,Regular,0.123,Canned,122.84,OUT004,2009,Medium,Tier 2,Supermarket Type2,2556.08
FD5646,14.0,Low Sugar,0.039,Dairy,197.4,OUT001,1987,High,Tier 2,Supermarket Type1,4788.51
FD751,8.56,Regular,0.061,Frozen Foods,91.13,OUT002,1998,Small,Tier 3,Food Mart,1383.42
NC4466,12.2,No Sugar,0.1,Household,147.08,OUT004,2009,Medium,Tier 2,Supermarket Type2,3352.73
FD3569,12.08,Low Sugar,0.061,Frozen Foods,153.26,OUT004,2009,Medium,Tier 2,Supermarket Type2,3452.34
FD2963,13.31,Low Sugar,0.041,Fruits and Vegetables,153.11,OUT004,2009,Medium,Tier 2,Supermarket Type2,3726.57
FD3897,14.44,Low Sugar,0.025,Snack Foods,178.33,OUT003,1999,Medium,Tier 1,Departmental Store,4497.83
FD3399,15.75,Low Sugar,0.036,Snack Foods,173.64,OUT001,1987,High,Tier 2,Supermarket Type1,4698.17
